Time,Frequency,Resistance
180, 5009512.000000, 443.968571
181, 5009511.383333, 443.990000
182, 5009511.033333, 444.016667
183, 5009510.360000, 444.030000
194, 5009501.600000, 444.370000
204, 5009493.000000, 444.700000
214, 5009485.300000, 445.030000
220, 5009480.800000, 445.250000
221, 5009480.800000, 445.250000
222, 5009479.500000, 445.302500
223, 5009479.033333, 445.316667
224, 5009478.685714, 445.338571
225, 5009478.466667, 445.360000
226, 5009478.400000, 445.382857
227, 5009478.150000, 445.391667
228, 5009478.166667, 445.400000
229, 5009478.414286, 445.400000
230, 5009478.833333, 445.380000
231, 5009479.357143, 445.362857
232, 5009479.714286, 445.342857
233, 5009480.133333, 445.323333
234, 5009480.633333, 445.300000
235, 5009480.971429, 445.272857
236, 5009481.314286, 445.254286
237, 5009480.933333, 445.265000
238, 5009479.914286, 445.310000
239, 5009478.742857, 445.375714
240, 5009477.466667, 445.423333
241, 5009475.857143, 445.501429
242, 5009474.185714, 445.582857
243, 5009472.500000, 445.660000
244, 5009470.614286, 445.750000
245, 5009468.742857, 445.880000
246, 5009466.933333, 446.000000
247, 5009465.271429, 446.071429
248, 5009463.071429, 446.185714
249, 5009461.300000, 446.300000
250, 5009459.342857, 446.391429
251, 5009457.800000, 446.475000
252, 5009456.385714, 446.554286
253, 5009454.633333, 446.626667
254, 5009453.414286, 446.697143
255, 5009452.214286, 446.748571
256, 5009450.914286, 446.808571
257, 5009450.000000, 446.860000
258, 5009449.242857, 446.900000
259, 5009448.328571, 446.940000
260, 5009447.633333, 446.980000
261, 5009447.114286, 447.005714
262, 5009446.471429, 447.024286
263, 5009445.966667, 447.056667
264, 5009445.442857, 447.092857
265, 5009444.766667, 447.135000
266, 5009444.328571, 447.172857
267, 5009443.985714, 447.202857
268, 5009443.633333, 447.230000
269, 5009443.328571, 447.252857
270, 5009442.933333, 447.270000
271, 5009442.628571, 447.300000
272, 5009442.357143, 447.320000
273, 5009442.033333, 447.350000
274, 5009441.728571, 447.367143
275, 5009441.171429, 447.395714
276, 5009440.714286, 447.428571
277, 5009440.266667, 447.466667
278, 5009439.928571, 447.497143
279, 5009439.442857, 447.532857
280, 5009439.033333, 447.570000
281, 5009438.614286, 447.602857
282, 5009438.042857, 447.631429
283, 5009437.566667, 447.665000
284, 5009437.171429, 447.694286
285, 5009436.428571, 447.725714
286, 5009435.800000, 447.760000
287, 5009435.314286, 447.810000
288, 5009434.885714, 447.840000
289, 5009434.466667, 447.865000
290, 5009434.085714, 447.898571
291, 5009433.733333, 447.923333
292, 5009433.428571, 447.947143
293, 5009433.085714, 447.977143
294, 5009432.857143, 448.002857
295, 5009432.266667, 448.030000
296, 5009431.785714, 448.054286
297, 5009431.433333, 448.063333
298, 5009431.128571, 448.082857
299, 5009430.866667, 448.103333
300, 5009430.633333, 448.125000
301, 5009430.400000, 448.150000
302, 5009430.128571, 448.158571
303, 5009429.857143, 448.177143
304, 5009429.533333, 448.205000
305, 5009429.000000, 448.231429
306, 5009428.485714, 448.254286
307, 5009428.133333, 448.280000
308, 5009427.800000, 448.310000
309, 5009427.471429, 448.328571
310, 5009427.157143, 448.352857
311, 5009426.900000, 448.376667
312, 5009426.571429, 448.397143
313, 5009426.228571, 448.442857
314, 5009425.766667, 448.460000
315, 5009425.257143, 448.500000
316, 5009424.771429, 448.530000
317, 5009424.400000, 448.550000
318, 5009424.071429, 448.578571
319, 5009423.633333, 448.615000
320, 5009423.271429, 448.642857
321, 5009423.000000, 448.670000
322, 5009422.728571, 448.697143
323, 5009422.266667, 448.725000
324, 5009421.642857, 448.757143
325, 5009421.033333, 448.793333
326, 5009420.614286, 448.824286
327, 5009420.171429, 448.854286
328, 5009419.733333, 448.880000
329, 5009419.314286, 448.920000
330, 5009418.928571, 448.970000
331, 5009418.533333, 449.010000
332, 5009418.228571, 449.035714
333, 5009417.871429, 449.074286
334, 5009417.366667, 449.100000
335, 5009417.085714, 449.127143
336, 5009416.942857, 449.151429
337, 5009416.900000, 449.165000
338, 5009416.957143, 449.174286
339, 5009417.057143, 449.180000
340, 5009417.233333, 449.180000
341, 5009417.585714, 449.177143
342, 5009417.971429, 449.158571
343, 5009418.033333, 449.150000
344, 5009418.171429, 449.140000
345, 5009418.633333, 449.120000
346, 5009419.085714, 449.102857
347, 5009419.600000, 449.066667
348, 5009420.185714, 449.038571
349, 5009420.742857, 449.001429
350, 5009421.300000, 448.975000
351, 5009421.885714, 448.947143
352, 5009422.271429, 448.921429
353, 5009422.400000, 448.903333
354, 5009422.650000, 448.886667
355, 5009423.050000, 448.865000
356, 5009423.428571, 448.835714
357, 5009423.800000, 448.810000
358, 5009424.071429, 448.810000
359, 5009424.466667, 448.790000
360, 5009424.828571, 448.772857
